Order Date,Invoice No,Customer ID,Product Name,Qty,Unit Price,Total,Region,Channel,_is_outlier
09/02/2023,INV-00091,1096,Coffee Beans 1kg,1,$18.50,$18.50,East,Online,False
23/03/2024,INV-01007,1270,Mug Set,1,$24.00,$24.00,East,In-store,False
07/10/2023,INV-00387,1036,Espresso Machine,1,$449.00,$449.00,West,Online,False
26/02/2023,INV-00186,1085,Milk Frother,2,$39.90,$79.80,North,Online,False
18/01/2023,INV-00425,1127,Coffee Beans 1kg,1,$18.50,$18.50,East,Online,False
03/05/2023,INV-00344,1123,Coffee Beans 1kg,3,$18.50,$55.50,North,Online,False
15/03/2023,INV-00224,1363,Grinder,1,$129.00,$129.00,East,In-store,False
16/04/2024,INV-00017,1319,Filter Papers,3,$4.25,$12.75,South,Online,False
08/06/2024,INV-00882,1366,Filter Papers,1,$4.25,$4.25,South,Online,False
23/01/2024,INV-00572,1398,Coffee Beans 1kg,3,$18.50,$55.50,West,Online,False
08/05/2023,INV-00761,1031,Espresso Machine,3,$449.00,"$1,347.00",North,Online,False
25/05/2023,INV-00729,1056,Milk Frother,1,$39.90,$39.90,East,Online,False
21/06/2023,INV-00345,1347,Espresso Machine,1,$449.00,$449.00,South,Online,False
21/11/2023,INV-00536,1031,Espresso Machine,1,$449.00,$449.00,North,Online,False
28/04/2023,INV-00159,1066,Milk Frother,1,$39.90,$39.90,North,Online,False
14/06/2023,INV-01165,1072,Filter Papers,3,$4.25,$12.75,South,In-store,False
23/04/2023,INV-01039,1365,Coffee Beans 1kg,1,$18.50,$18.50,East,In-store,False
23/04/2024,INV-00288,1143,Espresso Machine,1,$449.00,$449.00,East,In-store,False
28/02/2024,INV-00917,1105,Grinder,1,$129.00,$129.00,South,Online,False
19/01/2023,INV-00843,1067,Milk Frother,3,$39.90,$119.70,North,In-store,False
06/02/2023,INV-00639,1183,Grinder,3,$129.00,$387.00,West,In-store,False
09/08/2023,INV-00453,1235,Coffee Beans 1kg,2,$18.50,$37.00,South,Online,False
05/05/2024,INV-00246,1320,Mug Set,3,$24.00,$72.00,East,In-store,False
22/05/2024,INV-01146,1246,Filter Papers,1,$4.25,$4.25,East,Online,False
15/07/2023,INV-00399,1394,Coffee Beans 1kg,2,$18.50,$37.00,West,Online,False
17/03/2023,INV-00089,1042,Grinder,3,$129.00,$387.00,East,Online,False
18/01/2023,INV-00884,1195,Filter Papers,2,$4.25,$8.50,South,Online,False
09/04/2024,INV-01034,1226,Milk Frother,1,$39.90,$39.90,West,In-store,False
04/06/2023,INV-00528,1275,Filter Papers,1,$4.25,$4.25,East,In-store,False
26/06/2024,INV-00134,1001,Espresso Machine,1,$449.00,$449.00,East,In-store,False
11/02/2023,INV-00877,1081,Grinder,3,$129.00,$387.00,West,In-store,False
13/08/2023,INV-00356,1186,Espresso Machine,1,$449.00,$449.00,East,In-store,False
25/03/2023,INV-00351,1026,Filter Papers,3,$4.25,$12.75,North,In-store,False
20/01/2024,INV-01198,1390,Espresso Machine,1,$449.00,$449.00,North,Online,False
15/09/2023,INV-00022,1256,Grinder,2,$129.00,$258.00,South,In-store,False
28/02/2023,INV-00187,1319,Coffee Beans 1kg,3,$18.50,$55.50,South,In-store,False
16/07/2023,INV-01063,1206,Coffee Beans 1kg,2,$18.50,$37.00,East,In-store,False
11/02/2023,INV-00605,1238,Filter Papers,3,$4.25,$12.75,East,Online,False
24/01/2023,INV-00285,1138,Filter Papers,1,$4.25,$4.25,East,Online,False
20/09/2023,INV-00673,1130,Coffee Beans 1kg,3,$18.50,$55.50,North,Online,False
12/11/2023,INV-00444,1051,Filter Papers,2,$4.25,$8.50,South,Online,False
30/05/2024,INV-00815,1082,Milk Frother,3,$39.90,$119.70,North,Online,False
29/06/2024,INV-00744,1306,Coffee Beans 1kg,2,$18.50,$37.00,North,Online,False
17/04/2023,INV-00227,1177,Coffee Beans 1kg,3,$18.50,$55.50,North,Online,False
31/05/2024,INV-00778,1330,Grinder,3,$129.00,$387.00,North,In-store,False
16/03/2023,INV-00149,1111,Coffee Beans 1kg,1,$18.50,$18.50,North,In-store,False
22/03/2023,INV-00315,1288,Milk Frother,3,$39.90,$119.70,,In-store,False
28/01/2023,INV-01100,1349,Milk Frother,1,$39.90,$39.90,East,In-store,False
27/06/2024,INV-00565,1331,Coffee Beans 1kg,1,$18.50,$18.50,North,Online,False
15/04/2024,INV-00866,1085,Grinder,3,$129.00,$387.00,North,Online,False
17/06/2024,INV-00787,1147,Grinder,3,$129.00,$387.00,South,In-store,False
28/05/2024,INV-00625,1109,Filter Papers,1,$4.25,$4.25,East,Online,False
20/09/2023,INV-01049,1319,Grinder,3,$129.00,$387.00,South,Online,False
24/05/2024,INV-00996,1322,Coffee Beans 1kg,2,$18.50,$37.00,West,Online,False
03/06/2024,INV-00940,1177,Coffee Beans 1kg,1,$18.50,$18.50,North,In-store,False
11/04/2023,INV-00561,1107,Grinder,2,$129.00,$258.00,West,Online,False
21/05/2024,INV-01135,1025,Mug Set,1,$24.00,$24.00,North,In-store,False
11/07/2023,INV-00936,1107,Coffee Beans 1kg,2,$18.50,$37.00,East,Online,False
30/05/2024,INV-01100,1060,Mug Set,2,$24.00,$48.00,North,In-store,False
07/01/2024,INV-00847,1028,Coffee Beans 1kg,2,$18.50,$37.00,West,Online,False
11/03/2024,INV-00902,1313,Filter Papers,2,$4.25,$8.50,North,Online,False
04/04/2024,INV-00005,1186,Espresso Machine,3,$449.00,"$1,347.00",North,Online,False
26/11/2023,INV-00540,1387,Filter Papers,2,$4.25,$8.50,West,In-store,False
29/05/2024,INV-00167,1105,Espresso Machine,3,$449.00,"$1,347.00",East,Online,False
11/06/2023,INV-00089,1153,Coffee Beans 1kg,1,$18.50,$18.50,East,Online,False
02/03/2024,INV-00539,1355,Coffee Beans 1kg,1,$18.50,$18.50,West,Online,False
19/12/2023,INV-01119,1246,Mug Set,1,$24.00,$24.00,West,Online,False
19/03/2024,INV-00355,1114,Filter Papers,2,$4.25,$8.50,South,Online,False
21/05/2024,INV-00854,1148,Coffee Beans 1kg,2,$18.50,$37.00,East,Online,False
08/09/2023,INV-00020,1309,Coffee Beans 1kg,2,$18.50,$37.00,North,In-store,False
10/04/2023,INV-00702,1145,Mug Set,3,$24.00,$72.00,North,In-store,False
01/01/2024,INV-00604,1194,Coffee Beans 1kg,2,$18.50,$37.00,South,In-store,False
02/01/2024,INV-00831,1195,Coffee Beans 1kg,3,$18.50,$55.50,North,Online,False
16/10/2023,INV-00741,1187,Coffee Beans 1kg,1,$18.50,$18.50,East,In-store,False
18/06/2023,INV-00823,1194,Mug Set,1,$24.00,$24.00,South,Online,False
05/12/2023,INV-00601,1385,Coffee Beans 1kg,2,$18.50,$37.00,North,In-store,False
04/08/2023,INV-01029,1096,Filter Papers,1,$4.25,$4.25,West,Online,False
06/01/2024,INV-00034,1359,Coffee Beans 1kg,2,$18.50,$37.00,East,In-store,False
24/06/2023,INV-00625,1078,Espresso Machine,3,$449.00,"$1,347.00",South,In-store,False
27/01/2023,INV-00651,1031,Coffee Beans 1kg,1,$18.50,$18.50,West,In-store,False
28/06/2023,INV-00966,1126,Coffee Beans 1kg,2,$18.50,$37.00,North,In-store,False
30/08/2023,INV-00025,1098,Mug Set,2,$24.00,$48.00,West,Online,False
18/10/2023,INV-00456,1255,Coffee Beans 1kg,2,$18.50,$37.00,North,Online,False
07/05/2023,INV-00132,1073,Coffee Beans 1kg,2,$18.50,$37.00,West,Online,False
14/07/2023,INV-00549,1081,Filter Papers,1,$4.25,$4.25,South,Online,False
07/06/2023,INV-00526,1362,Coffee Beans 1kg,2,$18.50,$37.00,West,In-store,False
04/01/2024,INV-00618,1325,Mug Set,3,$24.00,$72.00,West,In-store,False
25/07/2023,INV-00949,1221,Coffee Beans 1kg,2,$18.50,$37.00,South,Online,False
15/09/2023,INV-00790,1365,Coffee Beans 1kg,3,$18.50,$55.50,South,In-store,False
17/10/2023,INV-00996,1148,Filter Papers,2,$4.25,$8.50,South,Online,False
15/02/2024,INV-01020,1028,Filter Papers,2,$4.25,$8.50,,Online,False
13/04/2024,INV-00396,1333,Coffee Beans 1kg,2,$18.50,$37.00,East,Online,False
25/01/2023,INV-00329,1035,Filter Papers,1,$4.25,$4.25,East,In-store,False
08/05/2024,INV-00771,1139,Coffee Beans 1kg,3,$18.50,$55.50,South,Online,False
09/12/2023,INV-00505,1183,Filter Papers,2,$4.25,$8.50,North,Online,False
25/03/2023,INV-01075,1272,Coffee Beans 1kg,2,$18.50,$37.00,West,In-store,False
31/01/2023,INV-00581,1049,Filter Papers,1,$4.25,$4.25,East,In-store,False
30/01/2024,INV-00586,1091,Espresso Machine,2,$449.00,$898.00,West,In-store,False
26/01/2024,INV-00364,1034,Filter Papers,3,$4.25,$12.75,South,Online,False
22/06/2024,INV-01037,1009,Filter Papers,1,$4.25,$4.25,West,Online,False
30/07/2023,INV-00305,1072,Filter Papers,2,$4.25,$8.50,South,Online,False
05/04/2024,INV-00688,1278,Filter Papers,1,$4.25,$4.25,North,In-store,False
09/10/2023,INV-00532,1216,Grinder,1,$129.00,$129.00,East,In-store,False
19/06/2023,INV-00494,1134,Coffee Beans 1kg,3,$18.50,$55.50,South,In-store,False
29/01/2024,INV-00849,1274,Coffee Beans 1kg,3,$18.50,$55.50,North,In-store,False
08/05/2023,INV-00057,1136,Milk Frother,2,$39.90,$79.80,West,In-store,False
27/02/2023,INV-01182,1396,Grinder,1,$129.00,$129.00,South,Online,False
19/02/2024,INV-00905,1110,Coffee Beans 1kg,1,$18.50,$18.50,South,In-store,False
10/06/2024,INV-00687,1271,Filter Papers,2,$4.25,$8.50,East,Online,False
30/03/2023,INV-01021,1100,Mug Set,3,$24.00,$72.00,West,Online,False
26/10/2023,INV-00859,1228,Coffee Beans 1kg,1,$18.50,$18.50,North,Online,False
21/01/2024,INV-00531,1228,Coffee Beans 1kg,2,$18.50,$37.00,South,Online,False
15/01/2023,INV-00326,1366,Coffee Beans 1kg,1,$18.50,$18.50,West,In-store,False
29/02/2024,INV-00645,1133,Coffee Beans 1kg,1,$18.50,$18.50,North,Online,False
12/08/2023,INV-00032,1043,Filter Papers,2,$4.25,$8.50,East,In-store,False
16/10/2023,INV-00546,1170,Filter Papers,1,$4.25,$4.25,West,In-store,False
22/07/2023,INV-00652,1242,Coffee Beans 1kg,3,$18.50,$55.50,South,In-store,False
16/02/2023,INV-00258,1080,Coffee Beans 1kg,2,$18.50,$37.00,East,Online,False
03/05/2024,INV-00160,1398,Filter Papers,1,$4.25,$4.25,East,Online,False
21/06/2024,INV-00554,1202,Espresso Machine,2,$449.00,$898.00,South,In-store,False
18/05/2023,INV-00170,1197,Filter Papers,3,$4.25,$12.75,South,In-store,False
17/02/2024,INV-00013,1234,Coffee Beans 1kg,3,$18.50,$55.50,West,Online,False
08/05/2024,INV-00099,1223,Coffee Beans 1kg,3,$18.50,$55.50,West,Online,False
21/06/2023,INV-00612,1168,Espresso Machine,1,$449.00,$449.00,South,In-store,False
21/02/2023,INV-00920,1220,Mug Set,2,$24.00,$48.00,East,Online,False
05/05/2023,INV-01134,1161,Milk Frother,3,$39.90,$119.70,South,Online,False
17/11/2023,INV-00256,1397,Coffee Beans 1kg,3,$18.50,$55.50,North,Online,False
