customer_id,age,tenure_months,monthly_charge,purchases_per_month,support_calls,plan,churn,_is_outlier
C1000,25.0,7,102.63,3.0,2,premium,1,False
C1001,64.0,55,109.62,1.0,0,basic,0,False
C1002,45.0,47,34.02,6.0,0,basic,0,False
C1003,70.0,32,75.4,5.0,3,basic,0,False
C1004,42.0,31,30.86,3.0,2,basic,0,False
C1005,45.0,61,87.22,2.0,1,basic,0,False
C1006,52.0,7,48.12,5.0,2,standard,1,False
C1007,70.0,50,85.94,2.0,2,basic,0,False
C1008,45.0,15,92.7,4.0,1,premium,0,False
C1009,19.0,7,96.86,6.0,1,premium,0,False
C1010,35.0,38,30.77,7.0,0,standard,0,False
C1011,70.0,70,111.6,4.0,1,standard,0,False
C1012,47.0,53,43.02,2.0,0,standard,0,False
C1013,72.0,55,23.74,2.0,1,premium,0,False
C1014,47.0,51,75.49,2.0,2,basic,0,False
C1015,18.0,56,57.09,5.0,4,basic,1,True
C1016,67.0,37,102.98,7.0,1,standard,0,False
C1017,61.0,10,100.83,1.0,4,standard,1,True
C1018,58.0,60,51.71,2.0,2,basic,0,False
C1019,73.0,32,115.29,6.0,0,standard,0,False
C1020,29.0,36,49.09,2.0,2,basic,1,False
C1021,69.0,27,71.51,4.0,0,premium,0,False
C1022,31.0,13,45.6,2.0,2,basic,1,False
C1023,45.0,66,113.6,4.0,4,basic,1,True
C1024,28.0,56,36.46,6.0,2,basic,0,False
C1025,49.0,46,24.49,6.0,1,basic,0,False
C1026,62.0,29,63.51,7.0,2,basic,0,False
C1027,22.0,59,119.24,4.0,1,basic,0,False
C1028,21.0,39,109.17,1.0,3,basic,1,False
C1029,66.0,32,94.86,4.0,1,basic,0,False
C1030,21.0,32,109.08,8.0,3,basic,0,False
C1031,52.0,17,109.34,6.0,0,basic,0,False
C1032,71.0,7,71.89,7.0,0,basic,0,False
C1033,53.0,40,51.59,2.0,0,basic,1,False
C1034,45.0,64,97.2,5.0,2,basic,0,False
C1035,41.0,5,86.17,4.0,1,basic,1,False
C1036,54.0,61,57.37,1.0,2,basic,1,False
C1037,50.0,59,29.45,7.0,2,standard,0,False
C1038,46.0,20,94.68,3.0,3,premium,1,False
C1039,26.0,45,46.25,2.0,4,premium,1,True
C1040,55.0,12,113.68,5.0,2,standard,0,False
C1041,60.0,54,44.1,4.0,3,standard,0,False
C1042,58.0,50,32.28,2.0,0,basic,0,False
C1043,22.0,26,103.11,6.0,4,standard,1,True
C1044,58.0,5,35.33,7.0,1,standard,0,False
C1045,59.0,69,37.93,2.0,0,premium,0,False
C1046,28.0,32,79.94,0.0,1,premium,1,False
C1047,66.0,64,107.46,6.0,0,basic,0,False
C1048,47.0,49,39.64,4.0,1,standard,0,False
C1049,44.0,56,51.03,5.0,0,premium,0,False
C1050,59.0,54,97.74,3.0,0,basic,0,False
C1051,47.0,14,117.18,10.0,1,premium,0,True
C1052,49.0,26,70.07,5.0,2,basic,0,False
C1053,35.0,34,34.39,2.0,5,premium,1,True
C1054,70.0,36,21.39,1.0,1,standard,0,False
C1055,73.0,4,42.97,2.0,3,basic,1,False
C1056,25.0,39,33.18,1.0,0,standard,0,False
C1057,45.0,11,87.77,2.0,2,basic,1,False
C1058,19.0,53,32.18,3.0,1,standard,0,False
C1059,39.0,49,70.63,1.0,1,standard,0,False
C1060,73.0,66,89.43,2.0,1,standard,1,False
C1061,27.0,53,78.11,6.0,1,premium,0,False
C1062,39.0,27,39.98,4.0,2,basic,1,False
C1063,30.0,69,100.41,2.0,2,basic,0,False
C1064,59.0,30,91.54,3.0,0,basic,0,False
C1065,44.0,24,93.9,2.0,1,basic,0,False
C1066,51.0,65,33.11,1.0,0,basic,0,False
C1067,71.0,27,32.38,2.0,3,basic,1,False
C1068,47.0,6,112.76,3.0,2,basic,1,False
C1069,59.0,34,59.76,5.0,0,basic,0,False
C1070,23.0,57,50.09,8.0,2,premium,0,False
C1071,30.0,14,68.86,3.0,3,basic,1,False
C1072,71.0,33,86.29,1.0,3,premium,1,False
C1073,66.0,10,115.56,1.0,1,basic,1,False
C1074,55.0,49,48.64,6.0,1,basic,0,False
C1075,45.0,34,112.48,2.0,0,standard,0,False
C1076,29.0,24,22.49,2.0,0,basic,0,False
C1077,66.0,17,75.52,0.0,1,basic,1,False
C1078,62.0,41,83.4,7.0,0,standard,0,False
C1079,31.0,48,30.59,2.0,1,basic,0,False
C1080,51.0,67,34.03,2.0,3,basic,0,False
C1081,53.0,32,61.91,5.0,2,standard,0,False
C1082,45.0,12,116.62,7.0,3,basic,1,False
C1083,70.0,60,79.6,0.0,3,premium,1,False
C1084,25.0,45,113.3,3.0,0,basic,0,False
C1085,32.0,50,100.44,5.0,1,premium,0,False
C1086,23.0,7,66.74,4.0,2,standard,1,False
C1087,57.0,23,98.48,8.0,3,premium,0,False
C1088,54.0,55,21.78,4.0,1,premium,0,False
C1089,74.0,60,30.91,1.0,5,basic,1,True
C1090,48.0,31,102.94,4.0,3,standard,0,False
C1091,26.0,58,99.68,5.0,1,basic,0,False
C1092,43.0,60,43.26,3.0,1,premium,0,False
C1093,23.0,28,73.08,4.0,3,standard,1,False
C1094,56.0,64,80.6,4.0,1,basic,0,False
C1095,56.0,21,106.77,3.0,0,premium,1,False
C1096,66.0,18,80.31,4.0,1,basic,0,False
